dbn,the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,longitude,latitude
4090100,POINT (-73.87574434777649 40.702585245598996),Glendale,73 Place,78-60,Glendale,11385,http://www.queenslibrary.org/branch/Glendale?filters=ev_loc:93400000,4090100,4036960047,1018702.3626100001,195271.656189,QPL,4,-73.87574434777649,40.702585245598996
4155032,POINT (-73.78191929899681 40.72925482196691),Hillcrest,Union Turnpike,187-05,Flushing,11366,http://www.queenslibrary.org/branch/Hillcrest?filters=ev_loc:96500000,4155032,4072040040,1044693.0,205039.0,QPL,4,-73.78191929899681,40.72925482196691
4224387,POINT (-73.76232032699329 40.720166536917226),Hollis,Hillside Avenue,202-05,Hollis,11423,http://www.queenslibrary.org/branch/Hollis?filters=ev_loc:93500000,4224387,4105320120,1050134.0,201742.0,QPL,4,-73.76232032699329,40.720166536917226
4292455,POINT (-73.84180221655218 40.66381025649444),Howard Beach,156 Avenue,92-06,Howard Beach,11414,http://www.queenslibrary.org/branch/Howard-Beach?filters=ev_loc:93600000,4292455,4139570001,1028139.0,181160.0,QPL,4,-73.84180221655218,40.66381025649444
4029693,POINT (-73.88506932468307 40.75019608559315),Jackson Heights,81 Street,35-51,Jackson Heights,11372,http://www.queenslibrary.org/branch/Jackson-Heights?filters=ev_loc:91700000,4029693,4012810048,1016094.06917,212614.21721,QPL,4,-73.88506932468307,40.75019608559315
4143376,POINT (-73.82226966032037 40.72693697185495),Kew Gardens Hills <br> (Temporary location),Main Street,71-34,Flushing,11367,http://www.queenslibrary.org/branch/Kew-Gardens-Hills?filters=ev_loc:92200000,4143376,4066200032,1033511.26984,204169.27062999998,QPL,4,-73.82226966032037,40.72693697185495
4437193,POINT (-73.86819939085701 40.757577301854525),Langston Hughes,Northern Boulevard,100-01,Corona,11368,http://www.queenslibrary.org/branch/Langston-Hughes?filters=ev_loc:98200000,4437193,4016950039,1020764.2056299999,215310.01342800003,QPL,4,-73.86819939085701,40.757577301854525
4281443,POINT (-73.74567356126445 40.67695272804687),Laurelton,225 Street,134-26,Laurelton,11413,http://www.queenslibrary.org/branch/Laurelton?filters=ev_loc:91800000,4281443,4131050007,1054794.1253,186010.952175,QPL,4,-73.74567356126445,40.67695272804687
4203685,POINT (-73.82482969850855 40.68690728824833),Lefferts,Lefferts Boulevard,103-34,Richmond Hill,11419,http://www.queenslibrary.org/branch/Lefferts?filters=ev_loc:91000000,4203685,4095560020,1032830.87264,189583.85283800002,QPL,4,-73.82482969850855,40.68690728824833
4047321,POINT (-73.86165592933878 40.737434137948505),Lefrak City,57 Avenue,98-30,Corona,11368,http://www.queenslibrary.org/branch/Lefrak-City?filters=ev_loc:93700000,4047321,4019180070,1022588.6031,207974.016845,QPL,4,-73.86165592933878,40.737434137948505
4463561,POINT (-73.93930930198185 40.75780342796006),Long Island City,21 Street,37-44,Long Island City,11101,http://www.queenslibrary.org/branch/Long-Island-City?filters=ev_loc:97300000,4463561,4003630001,1001063.7747600001,215370.753035,QPL,4,-73.93930930198185,40.75780342796006
4308052,POINT (-73.89310456490118 40.72699537010918),Maspeth,Grand Avenue,69-70,Maspeth,11378,http://www.queenslibrary.org/branch/Maspeth?filters=ev_loc:93900000,4308052,4027960008,1013878.04539,204158.650131,QPL,4,-73.89310456490118,40.72699537010918
4119345,POINT (-73.8098334843409 40.76375031625646),McGoldrick,Roosevelt Avenue,155-06,Flushing,11354,http://www.queenslibrary.org/branch/McGoldrick?filters=ev_loc:93800000,4119345,4052750120,1036929.06523,217588.755817,QPL,4,-73.8098334843409,40.76375031625646
